Código,Nome,Preço,@Imagem
"258384,""BRINCO TRIO PRATA 925 PONTO DE LUZ, ESTRELA E LUA"",""R$ 79,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258384-1.jpg"
"258385,PULSEIRA PRATA 925 BORBOLETAS,""R$ 99,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258385-1.jpg"
"258386,BRINCO TRIO PRATA 925 PONTO DE LUZ,""R$ 79,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258386-1.jpg"
"258387,BRINCO TRIO PRATA 925 CAUDA DE BALEIA E TARTARUGA,""R$ 79,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258387-1.jpg"
"258388,PULSEIRA PRATA 925 CORAÇÕES,""R$ 99,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258388-1.jpg"
"258389,COLAR PRATA 925 BORBOLETA E CORAÇÕES EM ZIRCÔNIA,""R$ 99,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258389-1.jpg"
"258390,""BRINCO TRIO PRATA 925 PONTO DE LUZ, LAÇO E FLOR"",""R$ 79,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258390-1.jpg"
"258391,BRINCO TRIO PRATA 925 BORBOLETA E FLOR,""R$ 79,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258391-1.jpg"
"258392,BRINCO TRIO PRATA 925 FLOR,""R$ 79,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258392-1.jpg"
"258393,BRINCO TRIO PRATA 925 CORAÇÃO,""R$ 79,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258393-1.jpg"
"258394,""BRINCO TRIO PRATA 925 ESTRELA DO MAR, BALEIA E TARTARUGA"",""R$ 79,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258394-1.jpg"
"258395,BRINCO TRIO PRATA 925 GOTA,""R$ 79,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258395-1.jpg"
"258396,BRINCO TRIO PRATA 925 BORBOLETA E FLOR,""R$ 79,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258396-1.jpg"
"258398,COLAR PRATA 925 CÍRCULO VAZADO COM CORAÇÃO EM ZIRCÔNIA,""R$ 99,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258398-1.jpg"
"258399,PULSEIRA PRATA 925 BORBOLETA,""R$ 59,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258399-1.jpg"
"258399,PULSEIRA PRATA 925 BORBOLETA,""R$ 59,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258399-3.jpg"
"258400,TORNOZELEIRA PRATA 925 BORBOLETA LISA,""R$ 59,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258400-1.jpg"
"258402,PULSEIRA PRATA 925 TREVOS,""R$ 59,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258402-1.jpg"
"258403,PULSEIRA PRATA 925 RETÂNGULAR CRAVEJADA,""R$ 59,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258403-1.jpg"
"258404,PULSEIRA PRATA 925 TREVO,""R$ 59,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258404-1.jpg"
"258405,PULSEIRA PRATA 925 ESTRELAS E CORAÇÕES CRAVEJADOS,""R$ 59,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258405-1.jpg"
"258407,SEPARADOR PRATA 925 CRAVEJADO,""R$ 199,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258407-1.jpg"
"258407,SEPARADOR PRATA 925 CRAVEJADO,""R$ 199,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258407-11.jpg"
"258407,SEPARADOR PRATA 925 CRAVEJADO,""R$ 199,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258407-13.jpg"
"258407,SEPARADOR PRATA 925 CRAVEJADO,""R$ 199,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258407-15.jpg"
"258407,SEPARADOR PRATA 925 CRAVEJADO,""R$ 199,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258407-3.jpg"
"258407,SEPARADOR PRATA 925 CRAVEJADO,""R$ 199,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258407-5.jpg"
"258407,SEPARADOR PRATA 925 CRAVEJADO,""R$ 199,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258407-7.jpg"
"258407,SEPARADOR PRATA 925 CRAVEJADO,""R$ 199,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258407-9.jpg"
"258417,PULSEIRA PRATA 925 ESTRELAS LISAS E ZIRCÔNIAS,""R$ 59,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258417-1.jpg"
"258419,PULSEIRA PRATA 925 PATAS DE CACHORRO,""R$ 59,80"",Z:\marketing\Weslley\Coleção JUNHO\CATÁLOGO DE PRATA\258419-1.jpg"
